pattern_name,sections,cta_placement,hero_style,trust_signals,social_proof,conversion_focus,use_case
product_showcase,hero+features+pricing+cta,multiple_ctas,product_demo_video,security_badges+guarantee,user_testimonials_grid,clear_value_prop,b2b_saas
conversion_focus,hero+problem+solution+cta,sticky_cta,emotional_image,trust_badges+stats,logo_cloud+numbers,minimal_friction,lead_generation
story_driven,hero+story+values+cta,story_end_cta,brand_story_video,mission_statement,case_studies,emotional_connection,brand_building
feature_grid,hero+features_grid+cta,hero+bottom_cta,animated_demo,comparison_table,feature_quotes,feature_discovery,product_launch
comparison_style,hero+comparison+proof+cta,multiple_ctas,vs_competitor,guarantee+stats,comparison_testimonials,competitive_advantage,competitive_markets
minimal_value,hero+value+cta,single_hero_cta,typography_focused,minimal_badges,single_testimonial,simplicity_focus,premium_products
social_first,hero+community+proof+cta,community_cta,community_visual,user_count+activity,social_feed+reviews,community_join,community_platforms
interactive_demo,hero+interactive_demo+cta,demo_cta,try_before_buy,security+privacy,no_login_required,hands_on_experience,developer_tools
pricing_clear,hero+pricing_table+faq+cta,pricing_cta,clear_pricing,price_guarantee,comparison_table,transparent_pricing,paid_products
case_study,hero+case_study+results+cta,results_cta,success_story,client_logo,metrics_results,evidence_based,consulting_services
onboarding_flow,hero+steps+form+cta,form_cta,step_visualization,privacy+security,completion_rate,reduced_friction,signup_flows
resource_hub,hero+resources+categories+cta,search_cta,search_focused,content_count,featured_resources,resource_discovery,documentation_sites
interactive_story,hero+scroll+reveal+cta,scroll_cta,scroll_visual,progress_indicator,chapter_navigation,scroll_experience,interactive_storytelling
